"State","Year","Population","Total_crime","Violent_crime","Murder","Forcible_rape","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Prison_population","GDP","Gun_number","Police_number"
"HAWAII",2010,1360301,3576.9,262.7,1.8,26.8,77.5,156.7,3314.2,636.8,2302.4,374.9,5912,71006.5,"10,533",3725
"HAWAII",2011,1374810,3625,287.2,1.2,31.6,75.8,178.6,3337.8,728,2305.6,304.3,6037,72080.2,"12,635",3733
"HAWAII",2012,1392313,3314.4,239.2,2.1,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9,5831,73582.7,"17,428",3720
"HAWAII",2013,1404054,3305.3,251.6,1.5,48.5,80.6,142.2,3053.7,536.5,2254.8,262.4,5632,74277.5,"17,416",3658
"HAWAII",2018,1420491,3118.9,248.6,2.5,44,66.6,135.5,2870.3,396.4,2076.2,397.7,5375,82651.9,"14,088",3624
"HAWAII",2017,1427538,3080.1,250.6,2.7,39.7,75.4,132.7,2829.5,388.7,2071.7,369.1,5630,80715.8,"12,742",3729
"HAWAII",2016,1428557,3301.9,309.2,2.5,74.6,69.6,193.8,2992.7,421.2,2175.8,395.8,5602,78905.1,"16,681",5074
"HAWAII",2015,1431603,4089.6,293.4,1.3,67.1,84,168.9,3796.2,458,2934.5,403.7,5879,77185.4,"15,290",3765
"HAWAII",2014,1419561,3309.2,259.2,1.8,53.4,78,148.1,3050,547.9,2228.9,273.3,5866,74529.3,"15,225",3776
"IDAHO",2008,1523816,2329.8,228.6,1.5,36.2,15.8,175.1,2101.2,439.8,1552,109.5,NA,59703.9,"100,457",4461
"IDAHO",2009,1545801,2217.1,228.4,1.4,35.7,15.8,175.4,1988.7,424.2,1471.1,93.3,7400,57087.5,"99,243",4215
"IDAHO",2010,1567582,2216.8,221,1.3,33.5,13.7,172.6,1995.8,414.8,1496.7,84.3,7431,57906.7,"92,031",4341
"IDAHO",2011,1584985,2269.5,200.9,2.3,27.4,11.6,159.6,2068.6,436.6,1547.9,84.1,7739,57796.7,"106,616",4251
"IDAHO",2012,1595728,2191.4,207.9,1.8,30,15.2,160.9,1983.5,450.3,1447.7,85.5,7985,57764.4,"136,482",4265
"IDAHO",2015,1654930,1959.4,215.6,1.9,74.1,11.6,160.1,1743.8,370,1260.7,113.1,8052,63097.5,"136,946",4384
"IDAHO",2016,1683140,1974.5,230.3,2.9,74.1,12.7,172,1744.2,375.4,1245.4,123.4,8252,65535.3,"156,343",3810
"IDAHO",2017,1716943,1861.8,226.4,1.9,41.2,11.4,172,1635.4,329.4,1181.1,125,8579,67818.2,"182,099",4506
"IDAHO",2018,1754208,1688.5,227.1,2,45.1,11.4,168.6,1461.4,281.6,1067.8,112,8664,70500.4,"207,320",5567
"IDAHO",2013,1612136,2081.3,217,1.7,68.9,13.6,161,1864.3,411.9,1357.1,95.3,7549,59830.6,"147,494",4272
"IDAHO",2014,1634464,2067,212.2,2,65.9,12.5,160.5,1854.8,393.3,1359.9,101.6,8117,61394.5,"131,742",4265
"ILLINOIS",2018,12741080,2336.9,404.1,6.9,46,111.5,239.7,1932.8,306.7,1472.3,153.8,39965,769800.6,"2,831,447",36749
"ILLINOIS",2016,12801539,2485.3,436.3,8.2,66.7,139.3,250.5,2049,374.9,1518.6,155.5,43657,747168,"1,924,070",43958
"ILLINOIS",2017,12802023,2450.2,438.8,7.8,43.4,137.2,250.4,2011.4,339.5,1508.8,163.1,41471,753638,"1,601,087",35332
"ILLINOIS",2015,12859995,2372.4,383.8,5.8,65.1,115.9,224.6,1988.6,361.1,1490.2,137.3,46240,744517.8,"1,247,398",22642
"ILLINOIS",2011,12869257,3118.1,429.3,5.6,28.8,157.4,237.5,2688.8,604.1,1861.1,223.5,48427,707059.5,"828,962",46335
