"State","Year","Population","Total_crime","Violent_crime","Murder","Forcible_rape","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Prison_population","GDP","Gun_number","Police_number"
"MISSISSIPPI",2010,2967297,3254.7,269.7,7,31.2,93.7,137.8,2985,1026,1778.4,180.6,21067,99983.6,"169,873",10325
"MISSISSIPPI",2011,2978512,3295.3,269.8,8,29,83.7,149.1,3025.5,1037.7,1822.5,165.4,21386,98727.7,"185,059",6216
"MISSISSIPPI",2017,2984100,3019.6,285.7,8.2,36.6,69.4,171.5,2733.9,828.1,1750.6,155.2,19103,101515.7,"251,852",4437
"MISSISSIPPI",2012,2984926,3071.8,260.8,7.4,27.5,76.5,149.4,2811,940.6,1725.6,144.8,22319,99614.6,"222,297",5662
"MISSISSIPPI",2018,2986530,2637.4,234.4,5.7,18,53.4,157.2,2403,697.8,1561.2,144,19275,102837.4,"247,278",4240
"MISSISSIPPI",2013,2991207,2999.3,274.6,6.5,55,80.5,156.5,2724.7,835.6,1742.3,146.7,21969,99622.4,"231,711",4609
"MISSISSIPPI",2014,2994079,3199.7,278.5,8.6,60.8,81.2,153.4,2921.2,813.3,1956.9,150.9,18793,100118.3,"214,829",4162
"MISSISSIPPI",2016,2988726,3048.6,280.5,8,73,80.2,149.6,2768.1,781.4,1842.1,144.7,19192,100656.5,"276,161",4274
"MISSISSIPPI",2015,2992333,3109.4,275.8,8.7,69,76.7,150.3,2833.6,828.8,1863,141.8,18911,100242.5,"252,372",4016
"MISSOURI",2008,5911605,4168.1,504.4,7.7,27.3,125,344.4,3663.7,774.5,2537.9,351.3,NA,270608.3,"321,487",20319
"MISSOURI",2009,5987580,3877.1,491.8,6.4,26.8,124.5,334.1,3385.3,731.3,2362.1,291.9,30563,265310.1,"355,678",20486
"MISSOURI",2010,5988927,3801.4,455,7,23.9,102.4,321.7,3346.4,735.4,2343,268,30623,269735,"349,672",20375
"MISSOURI",2011,6010688,3756.2,447.4,6.1,24.3,104.3,312.7,3308.8,745.7,2308.3,254.8,30833,266725.8,"394,923",20158
"MISSOURI",2012,6021988,3765.3,450.9,6.5,25.1,96,323.4,3314.4,705.2,2338.4,270.8,31247,268761.5,"513,303",19487
"MISSOURI",2015,6083672,3351.6,497.4,8.3,72.5,104.8,342.4,2854.2,559,2015.8,279.4,32330,276700.4,"584,875",20062
"MISSOURI",2016,6093000,3318.5,519.4,8.8,72.8,107.8,360.8,2799.1,520.4,1978.4,300.3,32461,275500.5,"632,319",22468
"MISSOURI",2017,6113532,3364.2,530.3,9.8,44.6,103.9,372,2833.9,492,2016,325.9,32601,278191.9,"524,973",20492
"MISSOURI",2018,6126452,3149.2,502.1,9.9,47.5,84.8,359.8,2647.1,444.9,1878.8,323.4,30369,284924.1,"496,184",20226
"MISSOURI",2013,6044171,3570.4,433.4,6.1,64.3,90.7,298.7,3137,643,2223.9,270.1,31537,271902.1,"567,009",20093
"MISSOURI",2014,6063589,3349.4,442.9,6.6,67.3,92.2,304.8,2906.5,581.5,2055.3,269.8,31942,273170.5,"517,063",20309
"MONTANA",2008,967440,2861.1,258.1,2.4,30.4,17.8,207.6,2603,344.4,2095.9,162.6,NA,40161.5,"97,599",2661
"MONTANA",2009,974989,2717.6,253.6,2.9,30.2,22.2,198.5,2464,347.3,1967.4,149.3,3605,39337.4,"101,976",2965
"MONTANA",2010,989415,2816,272.2,2.6,32.4,15.9,221.2,2543.8,369.3,2020.3,154.2,3716,40543.8,"101,095",2941
"MONTANA",2012,1005141,2855.9,272.2,2.7,37.7,19,212.8,2583.7,387.4,2028.3,168,3609,42005.8,"134,455",2405
"MONTANA",2015,1032949,2973.2,349.6,3.5,94.7,20.3,272.8,2623.6,371.6,2017.9,234.1,3685,44871.4,"127,705",3153
"MONTANA",2016,1042520,3051.8,368.3,3.5,95.1,25.5,283.9,2683.5,377.4,2043,263.1,3814,44265.4,"136,337",1870
"MONTANA",2017,1050493,2968.7,377.1,3.9,58.4,28.1,286.7,2591.6,344.1,2000.8,246.7,3698,45029.2,"123,938",3034
"MONTANA",2018,1062305,2870.4,374.1,3.2,51.9,25.3,293.7,2496.3,306.6,1926.5,263.2,3765,46219.7,"117,607",2902
"MONTANA",2011,998199,2587.2,267.5,2.8,35.8,16.9,212,2319.7,339.6,1834,146.1,3678,41473.1,"108,974",3022
"MONTANA",2013,1015165,2809.4,252.9,2.2,68.7,20.1,190.2,2556.5,400.3,1974,182.2,3642,42433.8,"137,830",2542
"MONTANA",2014,1023579,2796.6,323.7,3.6,94.9,19.8,247.4,2472.9,351.2,1922.1,199.6,3699,43173.7,"121,836",2021
"NEBRASKA",2008,1783432,3182.3,303.7,3.8,32.7,72.8,194.3,2878.6,492,2151.8,234.8,NA,93569.3,"56,589",4810
"NEBRASKA",2009,1796619,3043.1,281.6,2.2,33.1,67.8,178.4,2761.5,484.3,2083.5,193.8,4474,94050,"59,328",4815
"NEBRASKA",2010,1826341,2952.7,279.5,3,36.8,56.1,183.6,2673.2,455.9,2019.4,197.9,4587,97856.7,"58,283",4835
"NEBRASKA",2011,1842641,3006.1,253.2,3.6,37.7,54.1,157.7,2752.9,472.9,2057.3,222.7,4616,102332.7,"65,860",4893
"NEBRASKA",2012,1855525,3014.3,259.4,2.9,38.3,60.9,157.4,2754.9,470.8,2060.7,223.5,4705,102269,"85,860",4943
"NEBRASKA",2017,1920076,2579.9,305.9,2.2,62,50.4,191.2,2274,337.1,1666,271,5313,113110.4,"74,318",4852
"NEBRASKA",2018,1929268,2364.7,284.8,2.3,63.9,39.2,179.4,2079.9,271.9,1555.3,252.6,5491,114170,"74,477",5398
"NEBRASKA",2013,1868516,2885.5,262.1,3.1,75.9,55.7,160.5,2623.4,476.3,1908.2,238.9,5026,105038.2,"91,553",4915
"NEBRASKA",2014,1881503,2803.9,280.4,2.9,78.8,55.4,176.2,2523.5,422.5,1864.1,236.8,5441,107166.2,"68,568",5152
"NEBRASKA",2015,1896190,2516,274.9,3.3,80.4,52.4,173.1,2241.1,338.7,1691.4,211,5372,110325.7,"79,340",5241
"NEBRASKA",2016,1907116,2554.3,291,2.6,90.8,49.6,186.7,2263.3,337.9,1677.6,247.8,5302,110812,"88,663",4864
"NEVADA",2008,2600167,4172,724.5,6.3,42.4,248.9,426.9,3447.5,929,1906.8,611.6,NA,138863.3,"95,252",8841
"NEVADA",2009,2643085,3757.8,702.2,5.9,38.6,227.8,429.8,3055.6,832.1,1755.1,468.4,12482,127242.4,"107,343",10115
"NEVADA",2010,2700551,3435.3,660.6,5.9,35.7,196.2,422.9,2774.7,823,1574.5,377.1,12653,128827.2,"104,789",9873
"NEVADA",2011,2723322,3122.6,562.1,5.2,33.5,157.9,365.6,2560.5,742.3,1470,348.3,12778,129733.5,"118,740",8325
"NEVADA",2012,2758931,3417,607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1,12883,128043,"146,363",9447
"NEVADA",2013,2790136,3440.7,603,5.8,89.9,185.8,360.6,2837.7,826,1653.4,358.3,13056,128272.7,"146,892",8812
"NEVADA",2015,2890845,3364.2,695.9,6.2,101.2,217.5,413.9,2668.3,773.5,1502.2,392.7,13071,135429.2,"127,480",9106
"NEVADA",2016,2940058,3264.7,678.1,7.6,102.8,215.6,395.9,2586.6,641.1,1497.1,448.3,13757,139295.5,"147,992",13238
"NEVADA",2017,2998039,3168.3,555.9,9.1,63,161.5,322.3,2612.4,668.7,1516.4,427.3,13671,143733.4,"129,622",9831
"NEVADA",2018,3034392,2979.3,541.1,6.7,76.8,127.3,330.4,2438.2,584.7,1461.2,392.3,13641,149779.9,"127,434",9110
"NEVADA",2014,2839099,3261,635.6,6,82.8,209.7,372.1,2625.4,772.3,1494.3,358.7,12537,129999.9,"116,735",8973
"NEW HAMPSHIRE",2008,1315809,2249.1,157.2,1,29.7,31.8,94.7,2091.9,325.7,1660.8,105.4,NA,65016.8,"67,293",3373
"NEW HAMPSHIRE",2010,1316470,2353.3,167,1,31.3,34.3,100.4,2186.3,413.3,1699.5,73.5,2761,66441.5,"79,940",3441
"NEW HAMPSHIRE",2011,1318194,2471.9,188,1.3,32.5,36,118.2,2283.9,436.1,1773.9,73.9,2614,66840.1,"90,984",3473
"NEW HAMPSHIRE",2012,1320718,2511.9,187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5,2790,67689.2,"128,178",3436
"NEW HAMPSHIRE",2009,1324575,2320.6,159.6,0.8,30.2,34.4,94.3,2161,372,1704.1,84.9,2731,64449.6,"76,102",3353
"NEW HAMPSHIRE",2015,1330608,1945,199.3,1.1,81.7,35.2,116,1745.7,260.6,1418.2,67,2897,71511.1,"136,816",3459
"NEW HAMPSHIRE",2016,1334795,1710.5,197.6,1.3,75.3,32,120.7,1512.9,222,1225.7,65.3,2818,72815.6,"165,164",5624
"NEW HAMPSHIRE",2017,1342795,1580.5,198.7,1,49.4,31.2,117.1,1381.8,191.7,1122,68.1,2750,74118.8,"129,090",3623
"NEW HAMPSHIRE",2018,1356458,1421.7,173.2,1.5,39.4,26.5,105.8,1248.5,136.2,1048.2,64.1,2745,75833.2,"120,889",3689
"NEW HAMPSHIRE",2013,1323459,2409.6,215.3,1.7,88,49,112.7,2194.3,373,1750.3,71,3018,68800.2,"147,726",3432
"NEW HAMPSHIRE",2014,1326813,2158.8,196.1,0.9,79.3,40.5,110,1962.7,313.7,1584.4,64.6,2963,69544.7,"124,677",3401
"NEW JERSEY",2008,8682661,2619.9,326.5,4.3,12.9,146.3,163,2293.4,465.3,1595.7,232.4,NA,533053.7,"40,525",42022
"NEW JERSEY",2009,8707739,2391.2,311.5,3.7,12,133.7,162.2,2079.7,427.9,1473.7,178.1,25382,511149.6,"55,533",41609
"NEW JERSEY",2010,8791894,2389.6,307.7,4.2,11.2,134.4,157.9,2081.9,440.5,1464.5,176.9,25007,516589.3,"50,522",39996
"NEW JERSEY",2011,8821155,2459.1,308.4,4.3,11.4,138.4,154.3,2150.7,490.2,1463.1,197.4,23834,510928.5,"60,256",36854
"NEW JERSEY",2012,8864590,2337.5,290.2,4.4,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9,23225,519745.8,"85,851",37881
"NEW JERSEY",2013,8899339,2171.3,288.5,4.5,22.3,135.8,135.6,1882.8,403.1,1325.2,154.5,22452,523334.2,"120,071",31931
"NEW JERSEY",2018,8908520,1613,208.1,3.2,16,71.4,117.4,1404.9,215.9,1065.1,123.9,19362,555755.1,"93,124",40847
"NEW JERSEY",2014,8938175,1995.3,261.2,3.9,25,117.5,125.6,1734.1,354.8,1248.3,131,21590,525728.5,"92,320",38778
"NEW JERSEY",2016,8944469,1789.6,245,4.2,28.4,100.4,124.2,1544.6,282.7,1135.2,126.6,19786,539942.8,"121,853",47730
"NEW JERSEY",2015,8958013,1881.9,255.4,4.1,26.7,108.6,127.4,1626.5,312.1,1182.9,131.5,20489,535299.2,"90,034",39376
"NEW JERSEY",2017,9005644,1784.3,228.8,3.6,16.7,87.7,120.8,1555.5,265.3,1155.1,135.1,19585,543530.1,"103,739",40469
"NEW MEXICO",2008,1984356,4559.1,649.9,7.2,57.4,109.5,475.9,3909.2,1094.2,2411.6,403.4,NA,85976.8,"106,131",5765
"NEW MEXICO",2009,2009671,4354.8,619,8.7,52.6,93.1,464.7,3735.8,1095.8,2317.8,322.2,6363,87667.4,"106,854",6615
"NEW MEXICO",2010,2059179,4024.3,588.9,6.9,46.5,78.4,457.1,3435.4,1020.5,2160.1,254.8,6763,87004.1,"109,069",6030
"NEW MEXICO",2011,2082224,4099,567.5,7.5,41.2,82.7,436.2,3531.5,1028.9,2242.9,259.7,6998,87166.3,"115,620",6181
"NEW MEXICO",2013,2085287,4317.8,613,6,124.3,86.8,449.9,3704.8,1029.9,2391.8,283.2,6849,86506,"156,333",511
"NEW MEXICO",2012,2085538,4159.8,559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9,6727,87601.6,"143,419",6023
"NEW MEXICO",2014,2085572,4139.7,597.4,4.8,122.1,100,421.8,3542.3,887.3,2353.4,301.6,7021,89275.2,"139,780",4780
"NEW MEXICO",2017,2088070,4725.2,783.5,7.1,60.3,178.3,537.8,3941.7,858.1,2519.9,563.8,7276,91343.6,"159,779",4208
"NEW MEXICO",2018,2095428,4276.3,856.6,8,64.6,135.1,648.9,3419.7,767.8,2166.1,485.8,7030,93604.6,"156,853",3877
"NEW MEXICO",2015,2085109,4353.5,656.1,5.6,138.5,119.2,451.2,3697.4,819.4,2469.1,408.9,7169,91200.8,"147,912",1419
"NEW YORK",2010,19378102,2333.3,392.1,4.5,14.3,146.9,226.4,1941.2,335.3,1500.4,105.4,56656,1269486.5,"241,495",83394
"NEW YORK",2011,19465197,2310.5,398.1,4,14.1,145.9,234.1,1912.4,336,1477.2,99.2,55436,1269244.9,"271,837",81795
"NEW YORK",2008,19490297,2391.6,398.1,4.3,14.4,163,216.4,1993.5,337.3,1527.3,128.9,NA,1175470.9,"221,920",80949
"NEW YORK",2009,19541453,2320.7,384.7,4,13.2,144,223.5,1936,321.6,1502.5,111.9,58687,1223229.4,"241,165",83941
"NEW YORK",2018,19542209,1791,350.5,2.9,33.6,93.1,220.9,1440.5,159.3,1214,67.2,46636,1435636.2,"358,614",84204
"NEW YORK",2013,19651127,2218.5,393.7,3.3,30.2,138.6,234.7,1824.8,287.2,1458.8,78.8,53550,1319298.5,"353,064",78497
"NEW YORK",2017,19849399,1870.9,356.7,2.8,31.9,101.3,220.8,1514.2,176.3,1270.3,67.6,49461,1418942,"382,495",83642
"NEW YORK",2012,19570261,2328.8,406.8,3.5,14.6,146.4,242.3,1922,329.9,1503.5,88.6,54210,1322447.9,"338,619",79358
"NEW YORK",2014,19746227,2100,381.8,3.1,47.3,121.8,229.4,1718.2,257.2,1381.4,79.7,52518,1349268.1,"365,427",78535
"NEW YORK",2016,19745289,1921.8,376.2,3.2,54.8,113,228.3,1545.6,201.7,1271,72.9,50716,1389680.6,"404,772",129006
"NEW YORK",2015,19795791,1983.7,379.7,3.1,52.9,120.9,225,1604,223.7,1303,77.4,51727,1372162.8,"346,048",81036
"NORTH CAROLINA",2008,9222414,4511.4,467.3,6.5,24.8,155.4,280.6,4044.1,1210.1,2544,290,NA,446920.3,"347,473",32028
"NORTH CAROLINA",2009,9380884,4072.4,404.3,5.3,24.6,126.1,248.4,3668.1,1149.5,2305.2,213.5,39860,427107.8,"368,460",32357
"NORTH CAROLINA",2010,9535483,3810.7,363.4,5,21.1,100.8,236.5,3447.3,1076.9,2178.4,192,40382,433404.3,"331,637",32755
"NORTH CAROLINA",2011,9656401,3876.6,349.8,5.3,20.7,98.9,224.9,3526.8,1099.2,2251.2,176.4,39440,439088.5,"375,211",33061
"NORTH CAROLINA",2012,9752073,3722.9,353.4,4.9,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3,37136,439571,"489,307",33353
"NORTH CAROLINA",2013,9848060,3470.2,342.2,4.8,42.6,94.9,218.4,3128,921,2058.7,148.3,36922,445361.4,"574,622",33505
"NORTH CAROLINA",2014,9943964,3202.6,329.5,5.1,41.8,84.6,215.4,2873.1,798.2,1937.8,137.1,37096,455046.2,"1,182,349",34520
"NORTH CAROLINA",2017,10273419,2909,363.7,5.8,26.4,91,240.5,2545.3,630.6,1760.9,153.8,36394,485498.6,"537,813",34950
"NORTH CAROLINA",2015,10042802,3097.1,347,5.1,46,87.9,227.3,2750.1,745.2,1871.1,133.8,36617,469478.8,"531,876",34225
"NORTH CAROLINA",2018,10383620,2871.7,377.6,6,25.4,81.1,265.1,2494.1,599.9,1724.4,169.8,34899,497331.3,"529,916",34100
"NORTH DAKOTA",2008,641481,2060.9,166.5,0.5,36.2,11.2,118.6,1894.4,328.3,1428.6,137.5,NA,34154.6,"46,832",1673
"NORTH DAKOTA",2009,646844,2133.5,200.7,1.5,34.8,16.2,148.1,1932.8,363.9,1437.1,131.7,1486,35043.2,"47,962",1735
"NORTH DAKOTA",2010,672591,1993.5,225,1.5,35.2,13.4,174.8,1768.5,292.3,1348.5,127.7,1487,37696.5,"47,083",1840
"NORTH DAKOTA",2011,683932,2183.7,247,3.5,37.9,13.3,192.3,1936.7,355.7,1437.7,143.3,1423,41942.3,"61,032",1864
"NORTH DAKOTA",2012,699628,2254.8,244.7,4,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5,1512,51345.1,"84,867",1968
"NORTH DAKOTA",2017,755393,2479.1,281.3,1.3,52.8,24.2,202.9,2197.8,389.5,1573.6,234.7,1723,51014.7,"66,977",2418
"NORTH DAKOTA",2015,756927,2355.9,239.4,2.8,82.1,19.6,171.5,2116.5,395.9,1511.4,209.1,1795,54901.6,"69,429",2345
"NORTH DAKOTA",2016,757952,2547,251.1,2,78.9,23.9,180.1,2295.9,427.9,1608.9,259.1,1791,51036.3,"72,036",1978
"NORTH DAKOTA",2018,760077,2320.8,280.6,2.4,52.2,20.8,205.2,2040.2,358.4,1448.3,233.5,1695,52873,"62,334",2477
"NORTH DAKOTA",2013,723393,2364.1,270.1,2.2,77.4,22.4,199.9,2094,405.6,1492.7,195.7,1513,52530.8,"85,812",1992
"NORTH DAKOTA",2014,739482,2375.4,265.1,3,85.7,23.4,190.3,2110.3,366.1,1539.5,204.7,1718,56522.9,"70,548",2157
"OHIO",2008,11485910,3759.9,348.2,4.7,38.5,163,142.1,3411.7,892.8,2270.5,248.4,NA,537199.7,"350,014",31469
"OHIO",2010,11536504,3560.4,315.2,4.1,32.1,142.8,136.2,3245.2,923.3,2138.8,183.1,51712,521094.7,"393,250",27987
"OHIO",2009,11542645,3603,332.1,4.5,34.8,154.1,138.7,3270.9,902.9,2169.8,198.3,51606,509215.7,"395,580",29797
"OHIO",2012,11544225,3417.1,299.7,4.3,31.7,132,131.7,3117.4,895.9,2052.5,169,50876,540819.3,"629,215",19288
"OHIO",2011,11544951,3662.1,307.4,4.4,31.5,139.1,132.4,3354.7,976.3,2195.9,182.5,50964,538703.3,"468,974",30000
"OHIO",2017,11658609,2716.6,297.5,6.1,50.3,99.5,141.6,2419.1,502.4,1743,173.7,51478,594315.2,"753,072",17954
"OHIO",2018,11689442,2457,279.9,4.8,45.3,78.6,151.2,2177.1,412.2,1594.6,170.3,50431,605394.6,"717,475",19868
"OHIO",2013,11570808,3213.7,286.2,3.9,59.3,124.2,123.2,2927.5,790.2,1968.5,168.8,51729,550800,"680,930",16934
"OHIO",2014,11594163,3084,284.9,4,78.8,110,127.4,2799.1,680,1963.6,155.4,51519,571911.6,"596,389",12771
"OHIO",2015,11613423,2879.6,291.9,4.3,80.1,108.1,135.1,2587.7,596.7,1842.6,148.4,52233,580414.1,"748,502",17974
"OHIO",2016,11614373,2877.8,300.3,5.6,83.8,107.8,138.7,2577.5,575.9,1832.3,169.3,52175,585088.9,"875,724",21070
"OKLAHOMA",2008,3642361,3969.1,526.7,5.8,40.2,101.1,379.5,3442.4,963.1,2180.5,298.7,NA,161361.4,"221,612",11553
"OKLAHOMA",2009,3687050,4074.9,501.1,6.2,41.5,90.7,362.7,3573.8,1030,2261.7,282.2,24803,159235.6,"234,562",11984
"OKLAHOMA",2010,3751351,3895,479.5,5.2,38.7,89,346.7,3415.5,999,2144.8,271.6,26252,159226.5,"233,909",11667
"OKLAHOMA",2011,3791508,3811,454.8,5.5,37,86.6,325.7,3356.2,958.5,2106.8,290.9,25977,165153,"271,816",11978
"OKLAHOMA",2012,3814820,3870.3,469.3,5.7,41.6,84.7,337.3,3401,936.6,2161.3,303.1,25225,173483.7,"367,976",12445
"OKLAHOMA",2015,3911338,3307.9,422,6,81.9,76.8,291.9,2885.9,726.2,1892.5,267.2,28547,195902.1,"359,276",11417
"OKLAHOMA",2017,3930864,3332.6,456.2,6.2,54.5,76.3,319.3,2876.4,727.8,1836.9,311.7,28143,191544.2,"334,351",12945
"OKLAHOMA",2018,3943079,3341.1,466.1,5.2,58.3,70.8,331.8,2875,681.1,1856.8,337,27709,196524.6,"332,291",13016
"OKLAHOMA",2014,3878051,3396.7,406,4.5,78.7,78.6,277,2990.7,760.9,1956.9,272.9,27650,187739.1,"348,495",10155
"OKLAHOMA",2013,3850568,3714.9,441.2,5.1,100.1,78.7,300.8,3273.7,866.1,2116.4,291.2,27547,177601.6,"380,634",12216
"OREGON",2008,3790060,3539.4,257.2,2.2,30.5,69.7,154.8,3282.2,550.9,2432.3,299,NA,173955.1,"179,887",9965
"OREGON",2009,3825657,3221.8,254.7,2.2,30.5,64.3,157.6,2967.1,506.5,2202.6,258,14403,166653.2,"185,043",10230
"OREGON",2011,3871859,3362.2,247.6,2.1,31.4,57.4,156.6,3114.6,528.1,2352.8,233.7,14510,173883.1,"209,781",10057
"OREGON",2012,3899353,3471.8,247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7,14840,174493.1,"267,041",9918
"OREGON",2017,4142776,3268.3,281.8,2.5,48.3,58.7,172.3,2986.5,427.4,2145.3,413.7,15218,208625.8,"341,167",10729
"OREGON",2018,4190713,3179.5,285.5,2,47.1,60.8,175.6,2894,389.1,2109.9,395.1,15268,216561.5,"359,682",10664
"OREGON",2010,3831074,3264.9,252,2.4,31.7,62.4,155.6,3012.9,512.6,2267.7,232.6,14876,169015.8,"184,835",10195
"OREGON",2013,3930065,3427.9,254,2,85.4,61,142.7,3173.9,528.5,2394.5,250.9,15362,175805.1,"274,302",9787
"OREGON",2014,3970239,3111.3,232.3,2,63.2,52.7,140.8,2879,434,2204.6,240.5,15075,181861,"243,044",10312
"OREGON",2015,4028977,3206.4,259.8,2.5,68.4,53.3,164.6,2946.6,455.1,2229.7,261.8,15245,191999,"276,126",10571
"OREGON",2016,4093465,3229,264.6,2.8,72.8,55.6,164.1,2964.4,412,2230,322.3,15166,200948.2,"324,708",9470
"PENNSYLVANIA",2008,12448279,2820.2,410,5.6,27.9,151.6,224.8,2410.2,470.9,1758.8,180.5,NA,623821.3,"598,544",29641
"PENNSYLVANIA",2009,12604767,2582.1,380.5,5.2,29,138.9,207.4,2201.6,434.7,1625.5,141.4,51429,605496.7,"641,696",29505
"PENNSYLVANIA",2010,12702379,2539.2,366.2,5.2,26.9,128.8,205.3,2173,434.3,1607.4,131.2,51264,622466.7,"626,677",29488
"PENNSYLVANIA",2011,12742886,2577.3,355,5,26.1,126.6,197.3,2222.3,454,1636.1,132.2,51578,631371.8,"718,934",31245
"PENNSYLVANIA",2012,12763536,2515,348.7,5.4,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7,51125,641317.3,"968,534",30203
"PENNSYLVANIA",2016,12784227,2059.1,316.4,5.2,60,96.4,180.1,1742.7,277.8,1362.8,102.1,49244,689844.4,"1,143,220",42688
"PENNSYLVANIA",2015,12802503,2127.9,315.1,5.1,58,101.6,174.8,1812.8,309.8,1408.2,94.8,49858,681234.6,"993,429",30602
"PENNSYLVANIA",2017,12805537,1962.7,313.3,5.8,32.8,92.1,182.6,1649.4,250.3,1297.7,101.4,48333,693675.6,"1,062,651",30731
"PENNSYLVANIA",2018,12807060,1795.9,306,6.1,35,76.9,188,1489.9,211.6,1175.9,102.4,47239,711822.2,"1,021,943",29181
"PENNSYLVANIA",2014,12787209,2245.8,314.1,4.8,51.7,105.8,173.5,1931.7,357.5,1472.2,102,50694,666494.4,"899,241",29408
"PENNSYLVANIA",2013,12773801,2396.2,335.4,4.7,50.2,115.6,185.7,2060.8,407.3,1545.6,107.8,50312,651318.9,"1,044,731",30082
"PUERTO RICO",2018,3195153,978.6,200.8,20,6.2,71.1,103.6,777.8,171.7,490.1,116,NA,NA,"29,275",NA
"PUERTO RICO",2017,3337177,1166.8,232.6,20.3,6.3,91.5,114.4,934.2,238.2,588.3,107.7,NA,NA,"18,811",NA
"PUERTO RICO",2014,3548397,1521.9,236.2,19.2,2.8,145.7,69.7,1285.7,339.2,815.8,130.7,NA,NA,"16,118",NA
"PUERTO RICO",2013,3615086,1609.3,258,24.4,1.6,166.4,66.3,1351.3,386.2,812.2,153,NA,NA,"16,968",NA
"PUERTO RICO",2012,3667084,1683.1,273.8,26.7,0.9,171.7,74.5,1409.3,416.9,833,159.4,NA,NA,"15,545",NA
"PUERTO RICO",2011,3706690,1679.6,284.4,30.6,1.2,174.4,78.1,1395.2,447.6,789.7,157.9,NA,NA,"11,525",NA
"PUERTO RICO",2008,3954037,1738.5,239.9,20.4,2.4,138.3,78.8,1498.6,484,837.4,177.1,NA,NA,"6,503",NA
"PUERTO RICO",2009,3967288,1674.5,264.5,22.5,1.6,153.6,86.7,1410,466.8,770.9,172.2,NA,NA,"7,992",NA
"PUERTO RICO",2016,3411307,1255.9,224,19.9,8.8,93.8,105.4,1031.9,241.9,679,111,NA,NA,"15,861",NA
"PUERTO RICO",2015,3474182,1305.2,219.6,16.8,8.2,117.1,80.9,1085.6,263.4,705,117.3,NA,NA,"15,892",NA
"RHODE ISLAND",2012,1050292,2824.7,252.4,3.2,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2,3318,51642,"24,050",3045
"RHODE ISLAND",2008,1050788,3090,249.4,2.8,26.4,83.7,136.7,2840.6,547.2,1988.9,304.5,NA,50447.1,"12,405",3240
"RHODE ISLAND",2011,1051302,2924.3,247.5,1.3,28.9,71,146.3,2676.8,662.4,1796.8,217.5,3337,51269.1,"17,271",3091
"RHODE ISLAND",2010,1052567,2813.2,256.6,2.8,28.1,74.1,151.6,2556.6,581.5,1747.2,227.9,3357,51467.5,"14,835",3164
"RHODE ISLAND",2009,1053209,2863.4,252.6,2.9,27.3,74.6,147.7,2610.8,545.9,1837.7,227.2,3674,50213.6,"14,799",3191
"RHODE ISLAND",2018,1057315,1880,219.1,1.5,45.5,42.9,129.2,1660.9,265.8,1250.3,144.8,2767,53624.9,"25,030",3113
"RHODE ISLAND",2017,1059639,1983.8,232.2,1.9,42,44.7,143.5,1751.6,303.6,1308.1,140,2861,52989.3,"24,677",3140
"RHODE ISLAND",2013,1051511,2699.2,257.2,2.9,71,65,147.4,2442,533.2,1696.4,212.4,3361,52084.6,"26,666",3056
"RHODE ISLAND",2014,1055173,2392.8,219.2,2.4,58.2,50.1,132.5,2173.6,457.1,1542.8,173.7,3359,52134.2,"20,400",3126
"RHODE ISLAND",2015,1056298,2140,242.5,2.7,75.5,52.6,143.7,1897.5,373.7,1392.3,131.5,3248,53096.5,"22,129",3065
"RHODE ISLAND",2016,1056426,2137.6,238.9,2.7,72.8,51.1,143.2,1898.7,358.6,1389,151.1,3103,53090.7,"27,758",5226
"SOUTH CAROLINA",2008,4479800,4963.9,729.7,6.8,36.6,147.3,539.1,4234.2,1026.1,2814.1,394,NA,174584.2,"184,941",15316
"SOUTH CAROLINA",2009,4561242,4559.4,670.8,6.3,35.3,125.7,503.4,3888.6,992.8,2598.4,297.4,24288,166849.7,"214,584",12881
"SOUTH CAROLINA",2010,4625364,4498.1,597.7,6.1,31.7,107.7,452.3,3900.4,997.9,2617.2,285.3,23578,170166.5,"201,628",14030
"SOUTH CAROLINA",2011,4679230,4476.1,571.9,6.8,34.5,92.2,438.4,3904.2,1002.8,2609.4,292,22914,174127.9,"229,419",15689
"SOUTH CAROLINA",2012,4723723,4381,558.8,6.9,35.5,95,421.4,3822.2,954.5,2588.3,279.5,22388,175374.8,"308,408",15135
"SOUTH CAROLINA",2015,4896146,3797.8,504.5,8.1,81.8,80.3,369.1,3293.3,705.7,2322.7,264.9,20929,189899.8,"326,997",15943
"SOUTH CAROLINA",2016,4961119,3745.6,501.8,7.4,82.6,81.3,365,3243.8,664.7,2298.5,280.6,20858,195459.6,"402,978",11736
"SOUTH CAROLINA",2017,5024369,3702.1,506.2,7.8,49.8,77,371.5,3195.9,623.1,2289.1,283.8,19906,201872.6,"396,920",11876
