State,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft,Year,Prison_population,GDP,Gun_number,Police_number
WEST VIRGINIA,1855364,315.9,4.3,20.9,49,241.6,2273.9,603.2,1549.2,121.5,2011,6826,69658,"185,491",4417
WEST VIRGINIA,1855413,316.3,3.9,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1,2012,7070,69399,"225,580",4475
WISCONSIN,5389299,139.5543279,2.634851026,11.74549788,29.48435409,95.68962494,750.839766,82.55248039,641.8274436,23.02711354,2009,23165,257142.6,"196,951",19156
WISCONSIN,5540528,145.2930118,3.519520161,12.81466315,35.75471507,93.2041134,765.7212453,84.17970273,644.3068242,30.03323871,2008,NA,264632.1,"186,819",18648
WISCONSIN,5643675,133.8843927,4.32342401,13.83850062,27.81875285,87.90371522,557.1901288,49.09921284,482.8945678,22.91060346,2016,23377,290750.2,"561,819",1214
WISCONSIN,5686986,248.7,2.7,20.9,79.2,145.9,2507.7,467.1,1897.5,143.1,2010,22729,264841.1,"194,797",19423
WISCONSIN,5711767,236.9,2.4,20.4,78.2,135.9,2432.7,466.7,1821.9,144.1,2011,22654,270372.5,"322,761",18968
WISCONSIN,5726398,280.5,3,21.3,80.7,175.5,2453.8,488,1822.3,143.5,2012,22600,274343.9,"469,375",18638
WISCONSIN,5795483,319.9,3.2,36.9,75,204.8,1808.3,303.7,1341.3,163.4,2017,23945,294657.1,"526,523",18406
WISCONSIN,5813568,295.4,3,38.7,60,193.7,1559.9,242.5,1168.9,148.5,2018,24064,301622.7,"452,520",18013
WYOMING,528009,119.8843202,2.651469956,8.522582001,6.62867489,102.0815933,581.9976553,63.25649752,490.9007233,23.67383889,2008,NA,42632.5,"49,255",2029
WYOMING,539500,106.9508804,2.96570899,7.97034291,5.560704356,90.45412419,567.3772011,53.01204819,490.2687674,21.8721038,2009,2075,41385.4,"51,395",2072
WYOMING,549770,90.94712334,2.364625207,6.002510141,3.455990687,79.12399731,468.7414737,42.19946523,397.9846117,19.82647289,2016,2374,38052.9,"63,594",27
WYOMING,563626,195.9,1.4,29.1,13.5,151.9,2461.6,381.3,1975.4,104.9,2010,2112,39801.4,"47,709",1962
WYOMING,568158,219.3,3.2,25.7,12.5,177.9,2266.4,327.9,1846.8,91.7,2011,2183,39395.5,"52,224",2207
WYOMING,576412,201.4,2.4,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3,2012,2204,38431.7,"63,356",2074
WYOMING,577737,212.2,2.3,42.1,17.3,150.6,1785.1,264,1375.9,145.2,2018,2543,38040,"60,150",2323
WYOMING,579315,237.5,2.6,45.4,13.1,176.4,1830.4,275,1421,134.5,2017,2473,37997.1,"54,711",2025
WYOMING,582658,205.1,2.9,56.8,12.9,157.2,2198.4,335.5,1763.6,99.2,2013,2310,38503.9,"70,671",2291
WYOMING,586107,222.1,2.7,50.8,10.1,179.8,1902.6,300.6,1500.9,101,2015,2424,39723,"62,339",1897
ALABAMA,4802740,420.1,6.3,28.5,102.2,283,3606.1,1064.3,2319.7,222,2011,32270,185054.8,"336,102",16185
DISTRICT OF COLUMBIA,617996,1202.1,17.5,28,662.3,494.3,4795.5,623,3451.5,721,2011,NA,112008.3,300,4919
ILLINOIS,2872516,140.295128,9.991241128,9.608301573,56.77949226,63.91609307,439.4405462,34.53418536,280.5902561,122.0184674,2016,43657,747168,"1,924,070",2959
ILLINOIS,2986566,291.6727774,12.1879108,15.13443868,97.8381191,166.5123088,782.5710197,96.9005875,532.0156996,151.1434872,2008,NA,699429.5,"615,941",52561
ILLINOIS,3006374,276.4459778,12.63981128,15.43387483,95.63015114,152.7421405,737.7658269,100.7193383,507.2223216,127.462518,2009,45161,682965.6,"752,071",50833
ILLINOIS,12741080,404.1,6.9,46,111.5,239.7,1932.8,306.7,1472.3,153.8,2018,39965,769800.6,"2,831,447",36749
