Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",State,Total lawenforcementemployees,Male,Female,Totalcivilians,Totalcivilians,Male,Female
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MISSOURI,"20,158","13,062","1,424","2,171","3,501",560,"5,911,375"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MONTANA,"3,022","1,793",114,465,650,112,"996,168"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEBRASKA,"4,893","3,147",389,367,990,156,"1,797,644"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEVADA,"8,325","4,357",472,"1,291","2,205",26,"2,247,950"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW HAMPSHIRE,"3,473","2,413",221,243,596,155,"1,196,658"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW JERSEY,"36,854","26,133","2,424","3,242","5,055",538,"8,520,270"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW MEXICO,"6,181","4,063",441,578,"1,099",112,"2,010,149"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW YORK,"81,795","52,646","8,292","7,412","13,445",449,"19,218,297"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NORTH CAROLINA,"33,061","20,504","2,573","4,608","5,376",513,"9,653,354"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NORTH DAKOTA,"1,864","1,215",145,173,331,103,"678,227"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OHIO,"30,000","19,423","2,197","3,433","4,947",617,"10,255,737"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OKLAHOMA,"11,978","7,178",561,"1,816","2,423",337,"3,791,508"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OREGON,"10,057","5,502",610,"1,721","2,224",213,"3,837,283"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",PENNSYLVANIA,"31,245","23,120","2,684","2,062","3,379",966,"9,530,934"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",RHODE ISLAND,"3,091","2,308",182,264,337,48,"1,051,302"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",SOUTH CAROLINA,"15,689","10,207","1,383","1,530","2,569",384,"4,678,921"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",SOUTH DAKOTA,"2,833","1,441",102,559,731,138,"821,001"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",TENNESSEE,"25,784","14,594","1,501","4,448","5,241",453,"6,399,226"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",TEXAS,"89,839","49,119","6,267","14,895","19,558","1,023","25,494,380"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",UTAH,"6,965","4,475",338,907,"1,245",135,"2,808,993"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",VERMONT,"1,503","1,040",107,115,241,68,"372,484"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",VIRGINIA,"23,443","16,163","2,189","1,384","3,707",280,"8,093,016"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",WASHINGTON,"14,315","9,277",990,"1,446","2,602",259,"6,813,350"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",WEST VIRGINIA,"4,417","3,324",116,369,608,353,"1,843,538"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",WISCONSIN,"18,968","11,077","1,729","2,449","3,713",393,"5,704,599"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",WYOMING,"2,207","1,402",134,155,516,70,"567,714"
