Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",State,Total lawenforcementemployees,Male,Female,Totalcivilians,Totalcivilians,Male,Female
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,"16,185","10,019",756,"2,015","3,395",342,"4,463,637"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,"1,990","1,179",106,238,467,40,"722,151"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,"20,759","10,810","1,259","3,880","4,810",108,"6,123,315"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARKANSAS,"9,074","5,265",498,"1,321","1,990",276,"2,925,872"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CALIFORNIA,"116,797","67,432","10,152","13,729","25,484",463,"32,336,199"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",COLORADO,"16,700","9,864","1,391","1,834","3,611",235,"5,061,016"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CONNECTICUT,"10,254","7,570",785,820,"1,079",103,"3,580,709"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DELAWARE,"3,139","1,954",320,317,548,54,"906,750"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DISTRICT OF COLUMBIA,"4,919","3,303","1,012",277,327,2,"617,996"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",FLORIDA,"71,906","38,145","6,468","9,772","17,521",357,"18,108,630"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",GEORGIA,"34,432","21,368","3,964","3,156","5,944",458,"9,110,316"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",HAWAII,"3,733","2,666",294,232,541,4,"1,374,810"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IDAHO,"4,251","2,588",171,289,"1,203",108,"1,580,103"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ILLINOIS,"46,335","27,917","5,163","6,459","6,796",690,"11,898,578"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",INDIANA,"15,851","9,878",761,"2,511","2,701",244,"6,119,628"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IOWA,"7,573","4,676",400,910,"1,587",235,"2,990,283"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KANSAS,"10,058","6,004",590,"1,433","2,031",320,"2,541,382"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KENTUCKY,"9,063","6,572",473,825,"1,193",287,"3,695,575"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",LOUISIANA,"20,593","12,702","2,870","1,583","3,438",181,"4,006,987"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MAINE,"2,819","2,121",136,214,348,135,"1,327,672"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MARYLAND,"20,453","13,402","2,050","1,981","3,020",131,"5,655,068"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MASSACHUSETTS,"19,771","14,962","1,363","1,425","2,021",341,"6,489,247"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MICHIGAN,"23,744","15,366","2,322","2,766","3,290",603,"9,850,684"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MINNESOTA,"13,409","7,749","1,040","1,895","2,725",321,"5,263,708"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MISSISSIPPI,"6,216","3,669",367,861,"1,319",134,"2,014,546"
