X1,X2,State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,Metropolitan Statistical Area,,"3,650,288",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,Metropolitan Statistical Area,Area actually reporting,98.90%,"16,842",283,981,"4,517","11,061","133,153","37,131","88,221","7,801"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,Metropolitan Statistical Area,Estimated total,100.00%,"17,034",285,990,"4,562","11,197","134,817","37,524","89,402","7,891"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,Cities outside metropolitan areas,,"530,240",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,ALABAMA,Area actually reporting,94.10%,"2,813",28,177,364,"2,244","22,441","5,530","15,765","1,146"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,ALABAMA,Estimated total,100.00%,"2,972",30,186,380,"2,376","23,541","5,817","16,518","1,206"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,Nonmetropolitan counties,,"641,495",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,ALABAMA,Area actually reporting,99.20%,"1,674",27,119,77,"1,451","10,438","4,108","5,559",771
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,ALABAMA,Estimated total,100.00%,"1,687",27,120,78,"1,462","10,520","4,140","5,603",777
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,State Total,,"4,822,023","21,693",342,"1,296","5,020","15,035","168,878","47,481","111,523","9,874"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,ALABAMA,"Rate per 100,000 inhabitants",,449.9,7.1,26.9,104.1,311.8,"3,502.20",984.7,"2,312.80",204.8
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,Metropolitan Statistical Area,,"348,132",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,Metropolitan Statistical Area,Area actually reporting,100.00%,"2,726",18,336,535,"1,837","12,893","1,384","10,518",991
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,Cities outside metropolitan areas,,"127,551",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,ALASKA,Area actually reporting,96.50%,699,4,103,56,536,"3,645",422,"2,979",244
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,ALASKA,Estimated total,100.00%,724,4,107,58,555,"3,777",437,"3,087",253
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,Nonmetropolitan counties,,"255,766",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,ALASKA,Area actually reporting,100.00%,962,8,140,37,777,"3,367","1,129","1,960",278
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,State Total,,"731,449","4,412",30,583,630,"3,169","20,037","2,950","15,565","1,522"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,ALASKA,"Rate per 100,000 inhabitants",,603.2,4.1,79.7,86.1,433.2,"2,739.40",403.3,"2,128.00",208.1
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,Metropolitan Statistical Area,,"6,202,680",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,Metropolitan Statistical Area,Area actually reporting,99.80%,"25,286",324,"1,733","7,251","15,978","219,952","49,185","153,015","17,752"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,Metropolitan Statistical Area,Estimated total,100.00%,"25,312",324,"1,735","7,257","15,996","220,275","49,249","153,254","17,772"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,Cities outside metropolitan areas,,"125,367",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,ARIZONA,Area actually reporting,78.90%,"1,909",25,417,88,"1,379","7,424","2,259","4,199",966
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,ARIZONA,Estimated total,100.00%,"2,418",32,528,111,"1,747","9,405","2,862","5,319","1,224"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,Nonmetropolitan counties,,"225,208",,,,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,ARIZONA,Area actually reporting,100.00%,378,2,14,18,344,"2,250",823,"1,265",162
