State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
,Total all ages,"71,854","1,425","7,009",14,102,97,"1,212",938,"5,802",185,84,"5,922",156,490,112,225,"1,426",625,21,314,"5,514",1,622,"11,850","6,494",439,"2,442",9,"24,484",0,735,"1,539",,
ILLINOIS7,Under 18,"33,161","3,503","6,078",54,74,"1,529","1,846","1,087","3,345","1,619",27,"5,688",5,18,0,17,"1,879","1,098",37,84,"6,055",864,8,32,268,0,"3,112",0,"3,849",0,552,14,2,"2,986,566"
,Total all ages,"172,433","8,711","23,372",364,452,"2,922","4,973","2,894","15,889","4,514",75,"26,438",346,330,2,56,"5,172","4,117","3,616",965,"45,612","3,604",362,"4,909","1,317",0,"17,947",11,"24,980",0,552,14,,
INDIANA,Under 18,"38,675","1,498","8,963",18,52,385,"1,043","1,276","6,902",673,112,"4,603",29,70,0,"1,907","1,322",297,2,247,"2,380",5,346,167,"2,657",490,"2,622",8,"7,073",6,730,"3,253",155,"4,658,523"
,Total all ages,"220,709","8,351","30,527",268,262,"1,930","5,891","4,475","23,865","1,970",217,"20,268","1,443","1,978",15,"7,142","2,775","1,921","1,256","1,516","22,671",38,"1,790","23,475","9,883","18,536","8,158",36,"54,870",77,730,"3,253",,
IOWA,Under 18,"20,893",743,"5,276",6,29,94,614,724,"4,239",228,85,"2,591",42,53,10,75,"1,603",154,2,78,"1,165",1,12,226,"2,055",367,"2,386",0,"2,694",0,812,548,194,"2,765,774"
,Total all ages,"116,614","4,230","13,950",50,108,404,"3,668","1,907","11,349",553,141,"10,399",604,"1,155",94,210,"3,307",519,129,237,"8,497",13,870,"14,147","8,846","12,320","6,642",28,"29,057",0,812,548,,
KANSAS,Under 18,"11,183",336,"2,293",5,40,52,239,291,"1,882",80,40,"1,542",11,37,34,38,582,122,1,87,976,3,26,245,"1,413",1,810,0,"1,278",0,0,"1,348",232,"1,895,788"
,Total all ages,"80,352","2,491","7,187",47,183,285,"1,976","1,054","5,678",372,83,"11,483",556,"1,427",201,307,"2,020",731,227,325,"6,854",9,261,"13,080","7,284",329,"3,806",0,"20,426",0,0,"1,348",,
KENTUCKY,Under 18,"3,671",279,"1,514",6,5,146,122,313,"1,122",44,35,336,17,5,0,167,146,58,0,3,506,0,1,8,39,36,110,6,409,0,8,23,3,"660,796"
